fec_id,crp_id,crp_candidate_name,gender,party,crpico,office,race,opponent_name,opponent_fecid,crp_current_candidate,crp_cyclecand,crp_primary_results,last_name,first_name,middle_name,suffix,nickname,vs_candname,vs_filename,face_url,vs_canddetails,vs_filesize,birthday,url,address,phone,contact_form,rss_url,twitter,facebook,youtube,youtube_id,bioguide_id,thomas_id,opensecrets_id,lis_id,cspan_id,govtrack_id,votesmart_id,ballotpedia_id,washington_post_id,icpsr_id,wikipedia_id
H8NJ03073,N00000781,Frank Pallone Jr.,M,D,I,NJ06,House,[],[],Y,Y,W,,,,,,"Frank Pallone, Jr.",USH_NJ_FRANK_PALLONE_JR.jpg,https://static.votesmart.org/static/canphoto/26951.jpg,"
                Frank Pallone, Jr.

                (Won)

                Democratic
",4277.0,,,,,,,,,,,,,,,,,,,,,
H2NY17071,N00000939,Jerrold Nadler,M,D,I,NY10,House,"['Jeanne Nigro', 'Cathy Bernstein', 'Michael Madrid']","['H0NY10088', 'H0NY10112', 'H0NY10146']",Y,Y,W,,,,,,Jerry Nadler,USH_NY_JERRY_NADLER.jpg,https://static.votesmart.org/static/canphoto/26980.jpg,"
                Jerry Nadler

                (Won)

                Democratic, Working Families
",4405.0,6/13/47,https://nadler.house.gov,2132 Rayburn House Office Building Washington DC 20515-3210,202-225-5635,,http://nadler.house.gov/rss.xml,RepJerryNadler,CongressmanNadler,congressmannadler,UCQKj0qU1e7o2f5ftSh-c9aQ,N000002,850.0,N00000939,,26159.0,400289.0,26980.0,Jerrold Nadler,,29377.0,Jerry Nadler
H8NY15114,N00000990,Patrick McManus,M,3,O,NY16,House,['Jamaal Bowman'],['H0NY16143'],Y,Y,,,,,,,"Patrick McManus, Sr.",USH_NY_PATRICK_MCMANUS_SR.jpg,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/PatrickMcManus.jpeg,"
                Patrick McManus, Sr.

                (Lost)

                Conservative
",243.0,,,,,,,,,,,,,,,,,,,,,
H2NY00010,N00001102,Nydia M Velazquez,F,D,I,NY07,House,"['Brian W. Kelly', 'Gilbert Midonnet']","['H0NY07118', 'H0NY07126']",Y,Y,W,,,,,,Nydia Velázquez,USH_NY_NYDIA_VELÁZQUEZ.jpg,https://static.votesmart.org/static/canphoto/26975.jpg,"
                Nydia Velázquez

                (Won)

                Democratic, Working Families
",4351.0,,,,,,,,,,,,,,,,,,,,,
H8NY06048,N00001171,Gregory W Meeks,M,D,I,NY05,House,['Amit Lal'],['H0NY05088'],Y,Y,W,,,,,,Gregory Meeks,USH_NY_GREGORY_MEEKS.jpg,https://static.votesmart.org/static/canphoto/4360.jpg,"
                Gregory Meeks

                (Won)

                Democratic
",3322.0,,,,,,,,,,,,,,,,,,,,,
H4PA18131,N00001373,Mike Doyle,M,D,I,PA18,House,"['Daniel Vayda', 'Luke Negron']","['H0PA18105', 'H0PA18113']",Y,Y,W,,,,,,"Mike Doyle, Jr.",USH_PA_MIKE_DOYLE_JR.jpg,https://static.votesmart.org/static/canphoto/21853.jpg,"
                Mike Doyle, Jr.

                (Won)

                Democratic
",3690.0,,,,,,,,,,,,,,,,,,,,,
P80000722,N00001669,Joe Biden,M,D,C,PRES,Presidential,"['Jo Jorgensen', 'Donald Trump', 'Don Blankenship']","['P00013524', 'P80001571', 'P00014209']",Y,Y,W,,,,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Official_portrait_of_Vice_President_Joe_Biden.jpg,,,,,,,,,,,,,,,,,,,,,,,
H0DC00058,N00001692,Eleanor Holmes Norton,F,D,I,DC00,House,"['Natale Stracuzzi', 'David Krucoff', 'Ford Fischer']","['H8DC00143', 'H0DC01015', 'H0DC00231']",Y,Y,W,,,,,,Eleanor Norton,USH_DC_ELEANOR_NORTON.jpg,https://static.votesmart.org/static/canphoto/775.jpg,"
                Eleanor Norton

                (Won)

                Democratic
",3651.0,6/13/37,https://norton.house.gov,2136 Rayburn House Office Building Washington DC 20515-5101,202-225-8050,,http://norton.house.gov/index.php?format=feed&amp;type=rss,EleanorNorton,CongresswomanNorton,EleanorHNorton,UChRrAXUGylfxJjbquC6aUjQ,N000147,868.0,N00001692,,882.0,400295.0,775.0,,,,Eleanor Holmes Norton
H8DC00143,N00001728,Natale Stracuzzi,M,3,C,DC00,House,"['Eleanor Holmes Norton', 'David Krucoff', 'Ford Fischer']","['H0DC00058', 'H0DC01015', 'H0DC00231']",Y,Y,,,,,,,Lino Stracuzzi,USH_DC_LINO_STRACUZZI.jpg,https://static.votesmart.org/static/canphoto/137157.jpg,"
                Lino Stracuzzi

                (Lost)

                DC Statehood Green
",4074.0,,,,,,,,,,,,,,,,,,,,,
H0MD07114,N00001799,Kweisi Mfume,M,D,I,MD07,House,"['Kimberly Klacik', 'Amber Ivey']","['H0MD07197', 'H0MD07387']",Y,Y,W,,,,,,Kweisi Mfume,USH_MD_KWEISI_MFUME.jpg,https://static.votesmart.org/static/canphoto/26892.jpg,"
                Kweisi Mfume

                (Won)

                Democratic
",4361.0,10/24/48,https://mfume.house.gov,2263 Rayburn House Office Building Washington DC 20515-2007,202-225-4741,,,RepKweisiMfume,RepKweisiMfume,,,M000687,798.0,N00001799,,,407672.0,,,,15433.0,Kweisi Mfume
H2MD05155,N00001821,Steny H Hoyer,M,D,I,MD05,House,"['Chris Palombi', 'Rashad Lloyd']","['H0MD05225', 'H0MD05266']",Y,Y,W,,,,,,Steny Hoyer,USH_MD_STENY_HOYER.jpg,https://static.votesmart.org/static/canphoto/26890.jpg,"
                Steny Hoyer

                (Won)

                Democratic
",4956.0,,,,,,,,,,,,,,,,,,,,,
S6VA00093,N00002097,Mark Warner,M,D,I,VAS2,Senate,"['Alissa Baldwin', 'Thomas Speciale', 'Daniel Gade', 'Mary Knapp']","['S0VA00070', 'S0VA00088', 'S0VA00146', 'S0VA00153']",Y,Y,W,Mark,Warner,,,,Mark Warner,USS_VA_MARK_WARNER.jpg,https://static.votesmart.org/static/canphoto/535.jpg,"
                Mark Warner

                (Won)

                Democratic
",5611.0,,,,,,,,,,,,,,,,,,,,,
H6VA01117,N00002147,Bobby Scott,M,D,I,VA03,House,"['John Collick', 'Kyle Roberts']","['H0VA03124', 'H0VA03157']",Y,Y,W,,,,,,Bobby Scott,USH_VA_BOBBY_SCOTT.jpg,https://static.votesmart.org/static/canphoto/27117.jpg,"
                Bobby Scott

                (Won)

                Democratic
",4686.0,,,,,,,,,,,,,,,,,,,,,
H6NC04037,N00002260,David Price,M,D,I,NC04,House,['Robert Thomas'],['H0NC04220'],Y,Y,W,,,,,,David Price,USH_NC_DAVID_PRICE.jpg,https://static.votesmart.org/static/canphoto/119.jpg,"
                David Price

                (Won)

                Democratic
",3985.0,,,,,,,,,,,,,,,,,,,,,
H2SC02042,N00002408,James E Clyburn,M,D,I,SC06,House,"['Harrison Shuler', 'John McCollum', 'Mark Hackett']","['H0SC06229', 'H0SC06237', 'H0SC06245']",Y,Y,W,,,,,,Jim Clyburn,USH_SC_JIM_CLYBURN.jpg,https://static.votesmart.org/static/canphoto/27066.jpg,"
                Jim Clyburn

                (Won)

                Democratic
",4532.0,,,,,,,,,,,,,,,,,,,,,
H2GA05075,N00002583,Mable Thomas,F,D,O,GA05,House,"['Demondria Jefferson', 'Barrington Martin II', 'Angela Stanton-King', 'Keisha Waites', 'Nikema Williams', 'Chase Oliver', 'Kwanza Hall', 'Robert Franklin']","['H0GA05244', 'H0GA05251', 'H0GA05277', 'H0GA13156', 'H0GA05301', 'H0GA05319', 'H0GA05327', 'H0GA05335']",Y,Y,,,,,,,Mable Thomas,USH_GA_MABLE_THOMAS.jpg,https://static.votesmart.org/static/canphoto/31832.jpg,"
                Mable Thomas

                (Lost)

                Democratic
",5262.0,,,,,,,,,,,,,,,,,,,,,
H2GA02031,N00002674,Sanford Bishop,M,D,I,GA02,House,['Don Cole'],['H0GA02258'],Y,Y,W,,,,,,"Sanford Bishop, Jr.",USH_GA_SANFORD_BISHOP_JR.jpg,https://static.votesmart.org/static/canphoto/26817.jpg,"
                Sanford Bishop, Jr.

                (Won)

                Democratic
",4744.0,,,,,,,,,,,,,,,,,,,,,
H6FL08197,N00002802,Clay Hill,M,I,C,FL09,House,"['Darren Soto', 'Bill Olson', 'Anthony Davila', 'Edgar Reyes']","['H6FL09179', 'H0FL09081', 'H0FL09099', 'H0FL09123']",Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
H2FL23021,N00002884,Alcee L Hastings,M,D,I,FL20,House,"['Greg Musselwhite', 'Vic Degrammont']","['H0FL20120', 'H0FL20153']",Y,Y,W,,,,,,"Alcee Hastings, Sr.",USH_FL_ALCEE_HASTINGS_SR.jpg,https://static.votesmart.org/static/canphoto/26798.jpg,"
                Alcee Hastings, Sr.

                (Won)

                Democratic
",4451.0,,,,,,,,,,,,,,,,,,,,,
H2FL14053,N00002893,Lois J Frankel,F,D,I,FL21,House,"['Piotr Blass', 'Laura Loomer', 'Charleston Malkemus', 'Sylvia Caravetta']","['H8FL00026', 'H0FL21078', 'H0FL21177', 'H0FL21185']",Y,Y,W,Lois,Frankel,,,,Lois Frankel,USH_FL_LOIS_FRANKEL.jpg,https://static.votesmart.org/static/canphoto/8102.jpg,"
                Lois Frankel

                (Won)

                Democratic
",4167.0,,,,,,,,,,,,,,,,,,,,,
H6FL13205,N00002942,Charlie Crist,M,D,I,FL13,House,"['Anna Paulina Luna', 'Jacob Curnow']","['H0FL13158', 'H0FL13190']",Y,Y,W,Charlie,Crist,,,,"Charlie Crist, Jr.",USH_FL_CHARLIE_CRIST_JR.jpg,https://static.votesmart.org/static/canphoto/24311.jpg,"
                Charlie Crist, Jr.

                (Won)

                Democratic
",4503.0,7/24/56,https://crist.house.gov,215 Cannon House Office Building Washington DC 20515-0913,202-225-5961,,,repcharliecrist,RepCharlieCrist,,,C001111,,N00002942,,7960.0,412697.0,24311.0,Charlie Crist,,21712.0,Charlie Crist
H6AL04098,N00003028,Robert B Aderholt,M,R,I,AL04,House,['Rick Neighbors'],['H8AL04086'],Y,Y,W,Robert,Aderholt,,,,Robert Aderholt,USH_AL_ROBERT_ADERHOLT.jpg,https://static.votesmart.org/static/canphoto/441.jpg,"
                Robert Aderholt

                (Won)

                Republican
",3821.0,,,,,,,,,,,,,,,,,,,,,
H2TN05131,N00003132,Jim Cooper,M,D,I,TN05,House,['Craig Wildenradt'],['H0TN05341'],Y,Y,W,,,,,,Jim Cooper,USH_TN_JIM_COOPER.jpg,https://static.votesmart.org/static/canphoto/48891.jpg,"
                Jim Cooper

                (Won)

                Democratic
",4579.0,6/19/54,https://cooper.house.gov,1536 Longworth House Office Building Washington DC 20515-4205,202-225-4311,,http://cooper.house.gov/index.php?format=feed&amp;type=rss,RepJimCooper,JimCooper,RepJimCooper,UCjplyIIQbNZcl013AyDfPNg,C000754,231.0,N00003132,,1201.0,400081.0,48891.0,Jim Cooper,,15019.0,Jim Cooper
H6TN09068,N00003225,Steve Cohen,M,D,I,TN09,House,"['Charlotte Bergmann', 'Bobby Lyons', 'Dennis Clark']","['H8TN09114', 'H0TN09103', 'H0TN09111']",Y,Y,W,,,,,,Steve Cohen,USH_TN_STEVE_COHEN.jpg,https://static.votesmart.org/static/canphoto/24340.jpg,"
                Steve Cohen

                (Won)

                Democratic
",5031.0,5/24/49,https://cohen.house.gov,2104 Rayburn House Office Building Washington DC 20515-4209,202-225-3265,,http://cohen.house.gov/rss.xml,RepCohen,CongressmanSteveCohen,repcohen,UC_NJlnsOBjOameUwZk0rvsA,C001068,1878.0,N00003225,,1022876.0,412236.0,24340.0,Steve Cohen,,20748.0,Steve Cohen
H4MS02068,N00003288,Bennie G Thompson,M,D,I,MS02,House,['Brian Flowers'],['H0MS02082'],Y,Y,W,,,,,,Bennie Thompson,USH_MS_BENNIE_THOMPSON.jpg,https://static.votesmart.org/static/canphoto/26929.jpg,"
                Bennie Thompson

                (Won)

                Democratic
",4146.0,,,,,,,,,,,,,,,,,,,,,
S8MS00287,N00003295,Mike Espy,M,D,C,MSS1,Senate,"['Cindy Hyde-Smith', 'Jimmy Edwards', 'Mary Wright']","['S8MS00261', 'S0MS00086', 'S0MS00094']",Y,Y,W,Mike,Espy,,,,Mike Espy,USS_MS_MIKE_ESPY.jpg,https://static.votesmart.org/static/canphoto/2142.jpg,"
                Mike Espy

                (Lost)

                Democratic
",4729.0,,,,,,,,,,,,,,,,,,,,,
S2KY00012,N00003389,Mitch McConnell,M,R,I,KYS1,Senate,"['Alyssa Dara McDowell', 'Amy McGrath', 'Brad Barron', 'Derek Petteys', 'Maggie Jo Hilliard']","['S0KY00446', 'S0KY00339', 'S0KY00396', 'S0KY00412', 'S0KY00487']",Y,Y,W,Mitch,Mcconnell,,,,"Mitch McConnell, Jr.",USS_KY_MITCH_MCCONNELL_JR.jpg,https://static.votesmart.org/static/canphoto/53298.jpg,"
                Mitch McConnell, Jr.

                (Won)

                Republican
",3738.0,2/20/42,https://www.mcconnell.senate.gov,317 Russell Senate Office Building Washington DC 20510,202-224-2541,http://www.mcconnell.senate.gov/public/index.cfm?p=contact,http://www.mcconnell.senate.gov/public/?a=rss.feed,McConnellPress,mitchmcconnell,,,M000355,1395.0,N00003389,S174,2351.0,300072.0,53298.0,Mitch McConnell,,14921.0,Mitch McConnell
H0KY05015,N00003473,Hal Rogers,M,R,I,KY05,House,"['William Hibbitts', 'Matthew Best', 'John Wells']","['H0KY05148', 'H0KY05155', 'H0KY05163']",Y,Y,W,,,,,,Hal Rogers,USH_KY_HAL_ROGERS.jpg,https://static.votesmart.org/static/canphoto/26875.jpg,"
                Hal Rogers

                (Won)

                Republican
",3801.0,,,,,,,,,,,,,,,,,,,,,
H2OH09031,N00003522,Marcy Kaptur,F,D,I,OH09,House,['Rob Weber'],['H0OH09167'],Y,Y,W,,,,,,Marcia Kaptur,USH_OH_MARCIA_KAPTUR.jpg,https://static.votesmart.org/static/canphoto/27016.jpg,"
                Marcia Kaptur

                (Won)

                Democratic
",4248.0,6/17/46,https://kaptur.house.gov,2186 Rayburn House Office Building Washington DC 20515-3509,202-225-4146,,http://kaptur.house.gov/index.php?format=feed&amp;type=rss,RepMarcyKaptur,RepresentativeMarcyKaptur,USRepMarcyKaptur,UCIJUNf22o09nO02oQPLKQ6w,K000009,616.0,N00003522,,1458.0,400211.0,27016.0,Marcy Kaptur,,15029.0,Marcy Kaptur
H8OH01043,N00003689,Steve Chabot,M,R,I,OH01,House,"['Kate Schroder', 'Kevin Kahn']","['H0OH01099', 'H0OH01115']",Y,Y,W,Steve,Chabot,,,,Steve Chabot,USH_OH_STEVE_CHABOT.jpg,https://static.votesmart.org/static/canphoto/21790.jpg,"
                Steve Chabot

                (Won)

                Republican
",4147.0,1/22/53,https://chabot.house.gov,2408 Rayburn House Office Building Washington DC 20515-3501,202-225-2216,,http://chabot.house.gov/common/rss/index.cfm?rss=49,RepSteveChabot,RepSteveChabot,congressmanchabot,UCJpzm2DZDE1B6ruQLQc7q4g,C000266,186.0,N00003689,,36705.0,400071.0,21790.0,Steve Chabot,,29550.0,Steve Chabot
H8IN01096,N00003796,Mark Leyva,M,R,O,IN01,House,"['Frank J. Mrvan', 'Edward Strauss']","['H0IN01150', 'H0IN01275']",Y,Y,W,,,,,,"Mark Leyva, Sr.",USH_IN_MARK_LEYVA_SR.jpg,https://static.votesmart.org/static/canphoto/18416.jpg,"
                Mark Leyva, Sr.

                (Lost)

                Republican
",4231.0,,,,,,,,,,,,,,,,,,,,,
H6MI04113,N00004133,Fred Upton,M,R,I,MI06,House,"['Jon Hoadley', 'Andrew J. Tidwell', 'Lance Brown']","['H0MI06152', 'H0MI06160', 'H0MI06194']",Y,Y,W,Fred,Upton,,,,Fred Upton,USH_MI_FRED_UPTON.jpg,https://static.votesmart.org/static/canphoto/26906.jpg,"
                Fred Upton

                (Won)

                Republican
",3766.0,4/23/53,https://upton.house.gov,2183 Rayburn House Office Building Washington DC 20515-2206,202-225-3761,,http://www.house.gov/news/rss.aspx,RepFredUpton,RepFredUpton,RepFredUpton,UCsN16IzEo4ViZNEMgeCrQ7w,U000031,1177.0,N00004133,,12127.0,400414.0,26906.0,Fred Upton,,15446.0,Fred Upton
H6WI03099,N00004403,Ron Kind,M,D,I,WI03,House,['Derrick Van Orden'],['H0WI03175'],Y,Y,W,Ron,Kind,,,,Ron Kind,USH_WI_RON_KIND.jpg,https://static.votesmart.org/static/canphoto/630.jpg,"
                Ron Kind

                (Won)

                Democratic
",6410.0,3/16/63,https://kind.house.gov,1502 Longworth House Office Building Washington DC 20515-4903,202-225-5506,,http://kind.house.gov/common/rss/?rss=52,RepRonKind,repronkind,RepRonKind,UC0_BilariURHwSHf9baGykg,K000188,1498.0,N00004403,,45870.0,400218.0,630.0,Ron Kind,,29769.0,Ron Kind
H2MN07014,N00004558,Collin Peterson,M,D,I,MN07,House,"['Michelle Fischbach', 'Rae Hart Anderson', 'Slater Johnson']","['H0MN07091', 'H0MN07141', 'H0MN07166']",Y,Y,W,Collin,Peterson,,,,Collin Peterson,USH_MN_COLLIN_PETERSON.jpg,https://static.votesmart.org/static/canphoto/26926.jpg,"
                Collin Peterson

                (Lost)

                Democratic/Farmer/Labor
",4775.0,,,,,,,,,,,,,,,,,,,,,
H8IL09067,N00004724,Jan Schakowsky,F,D,I,IL09,House,['Sargis Sangari'],['H8IL09190'],Y,Y,W,,,,,,Jan Schakowsky,USH_IL_JAN_SCHAKOWSKY.jpg,https://static.votesmart.org/static/canphoto/6387.jpg,"
                Jan Schakowsky

                (Won)

                Democratic
",4946.0,,,,,,,,,,,,,,,,,,,,,
H4IL07037,N00004884,Danny K Davis,M,D,I,IL07,House,"['Craig Cameron', 'Tracy Jennings']","['H8IL17045', 'H0IL07159']",Y,Y,W,,,,,,Danny Davis,USH_IL_DANNY_DAVIS.jpg,https://static.votesmart.org/static/canphoto/233.jpg,"
                Danny Davis

                (Won)

                Democratic
",4181.0,,,,,,,,,,,,,,,,,,,,,
H2IL01042,N00004887,Bobby L Rush,M,D,I,IL01,House,"['Philanise White', 'Ruth Pellegrini']","['H0IL01194', 'H0IL01228']",Y,Y,W,,,,,,Bobby Rush,USH_IL_BOBBY_RUSH.jpg,https://static.votesmart.org/static/canphoto/26831.jpg,"
                Bobby Rush

                (Won)

                Democratic
",5055.0,,,,,,,,,,,,,,,,,,,,,
S6IL00151,N00004981,Dick Durbin,M,D,I,ILS1,Senate,"['Willie Wilson', 'Mark Curran', 'Patrick Feges', 'Danny Malouf']","['S0IL00568', 'S0IL00543', 'S0IL00600', 'S0IL00618']",Y,Y,W,Dick,Durbin,,,,Dick Durbin,USS_IL_DICK_DURBIN.jpg,https://static.votesmart.org/static/canphoto/26847.jpg,"
                Dick Durbin

                (Won)

                Democratic
",3641.0,,,,,,,,,,,,,,,,,,,,,
H2MO02078,N00005076,Jim Higgins,M,L,C,MO06,House,"['Sam Graves', 'Gena Ross']","['H0MO06073', 'H0MO06222']",Y,Y,,,,,,,Jim Higgins,USH_MO_JIM_HIGGINS.jpg,https://static.votesmart.org/static/canphoto/1309.jpg,"
                Jim Higgins

                (Lost)

                Libertarian
",4104.0,,,,,,,,,,,,,,,,,,,,,
S6OK04098,N00005531,Robert T. Murphy,M,L,C,OKS2,Senate,"['James M Inhofe', 'Joan Farr', 'Abby Broyles', 'April Nesbit']","['S4OK00083', 'S0OK00412', 'S0OK00370', 'S0OK00404']",Y,Y,,,,,,,Robert Murphy,USS_OK_ROBERT_MURPHY.jpg,https://static.votesmart.org/static/canphoto/2470.jpg,"
                Robert Murphy

                (Lost)

                Libertarian
",4075.0,,,,,,,,,,,,,,,,,,,,,
H4OK06056,N00005559,Frank D Lucas,M,R,I,OK03,House,['Zoe Midyett'],['H0OK03093'],Y,Y,W,,,,,,Frank Lucas,USH_OK_FRANK_LUCAS.jpg,https://static.votesmart.org/static/canphoto/27032.jpg,"
                Frank Lucas

                (Won)

                Republican
",4744.0,,,,,,,,,,,,,,,,,,,,,
S4OK00083,N00005582,James M Inhofe,M,R,I,OKS2,Senate,"['Robert T. Murphy', 'Joan Farr', 'Abby Broyles', 'April Nesbit']","['S6OK04098', 'S0OK00412', 'S0OK00370', 'S0OK00404']",Y,Y,W,James,Inhofe,,,,Jim Inhofe,USS_OK_JIM_INHOFE.jpg,https://static.votesmart.org/static/canphoto/27027.jpg,"
                Jim Inhofe

                (Won)

                Republican
",3798.0,,,,,,,,,,,,,,,,,,,,,
H6OK03165,N00005600,Evelyn Rogers,F,I,C,OK01,House,"['Kevin Hern', 'Kojo Asamoa-Caesar']","['H8OK01157', 'H0OK01147']",Y,Y,,,,,,,Evelyn Rogers,USH_OK_EVELYN_ROGERS.jpg,https://static.votesmart.org/static/canphoto/55563.jpg,"
                Evelyn Rogers

                (Lost)

                Independent
",4286.0,,,,,,,,,,,,,,,,,,,,,
H2TX03126,N00005681,Pete Sessions,M,R,O,TX17,House,"['Rick Kennedy', 'Ted Brown']","['H8TX17149', 'H0TX17252']",Y,Y,W,Pete,Sessions,,,,Pete Sessions,USH_TX_PETE_SESSIONS.jpg,https://static.votesmart.org/static/canphoto/288.jpg,"
                Pete Sessions

                (Won)

                Republican
",3654.0,3/22/55,https://sessions.house.gov,2204 Rayburn House Office Building Washington DC 20515-4317,202-225-6105,,http://sessions.house.gov/?a=rss.feed,,,,,S000250,1525.0,N00005681,,36807.0,400367.0,288.0,Pete Sessions,,29759.0,Pete Sessions
H8TX05052,N00005697,Ken Ashby,M,L,C,TX32,House,"['Colin Allred', 'Genevieve Collins', 'Jason Sigmon', 'Christy Mowrey']","['H8TX32098', 'H0TX32087', 'H0TX32111', 'H0TX32137']",Y,Y,,,,,,,,,https://s3.amazonaws.com/ballotpedia-api4/files/thumbs/200/300/Ken-Ashby.jpg,,,,,,,,,,,,,,,,,,,,,,,
H6TX02079,N00005736,Brian Babin,M,R,I,TX36,House,['Brandon Rashad Lewis'],['H0TX36021'],Y,Y,W,,,,,,Brian Babin,USH_TX_BRIAN_BABIN.jpg,https://static.votesmart.org/static/canphoto/360.jpg,"
                Brian Babin

                (Won)

                Republican
",4356.0,3/23/48,https://babin.house.gov,2236 Rayburn House Office Building Washington DC 20515-4336,202-225-1555,,,RepBrianBabin,RepBrianBabin,,UCPVEZgw-VbDRbLV1MRGVQNQ,B001291,2270.0,N00005736,,44883.0,412655.0,360.0,Brian Babin,,21551.0,Brian Babin
